District,Pop
GARHWA,"1,322,784"
CHATRA,"1,042,886"
KODERMA,"716,259"
GIRIDIH,"2,445,474"
DEOGHAR,"1,492,073"
GODDA,"1,313,551"
SAHIBGANJ,"1,150,567"
PAKUR,"900,422"
DHANBAD,"2,684,487"
BOKARO,"2,062,330"
LOHARDAGA,"461,790"
EAST SINGHBHUM,"2,293,919"
PALAMU,"1,939,869"
LATEHAR,"726,978"
HAZARIBAGH,"1,734,495"
RAMGARH,"949,443"
DUMKA,"1,321,442"
JAMTARA,"791,042"
RANCHI,"2,914,253"
KHUNTI,"531,885"
GUMLA,"1,025,213"
SIMDEGA,"599,578"
WEST SINGHBHUM,"1,502,338"
SARAIKELA-KHARSAWAN,"1,065,056"